C-16 POPULATION BY MOTHER TONGUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Table,State,District,Town,Area name,Mother,Mother tongue name,Total,,,Rural,,,Urban,,
name,code,code,code,,tongue,,P,M,F,P,M,F,P,M,F
,,,,,code,,1,2,3,4,5,6,7,8,9
,,,,,,,,,,,,,,,
C0116,29,000,000000,KARNATAKA,001000,1 ASSAMESE,6887,4784,2103,0,0,0,6887,4784,2103
C0116,29,000,000000,KARNATAKA,001002, Assamese,6753,4725,2028,0,0,0,6753,4725,2028
C0116,29,000,000000,KARNATAKA,001999,1 Others,134,59,75,0,0,0,134,59,75
C0116,29,000,000000,KARNATAKA,002000,2 BENGALI ,66368,39763,26605,0,0,0,66368,39763,26605
C0116,29,000,000000,KARNATAKA,002007, Bengali,66297,39711,26586,0,0,0,66297,39711,26586
C0116,29,000,000000,KARNATAKA,002011, Chakma,51,41,10,0,0,0,51,41,10
C0116,29,000,000000,KARNATAKA,002999,2 Others,20,11,9,0,0,0,20,11,9
C0116,29,000,000000,KARNATAKA,003000,3 BODO ,256,179,77,0,0,0,256,179,77
C0116,29,000,000000,KARNATAKA,003001, Bodo/Boro,248,173,75,0,0,0,248,173,75
C0116,29,000,000000,KARNATAKA,003003, Kachari,8,6,2,0,0,0,8,6,2
C0116,29,000,000000,KARNATAKA,004000,4 DOGRI ,718,482,236,0,0,0,718,482,236
C0116,29,000,000000,KARNATAKA,004001, Dogri,718,482,236,0,0,0,718,482,236
C0116,29,000,000000,KARNATAKA,005000,5 GUJARATI,103533,53051,50482,0,0,0,103533,53051,50482
C0116,29,000,000000,KARNATAKA,005018, Gujarati,57286,29466,27820,0,0,0,57286,29466,27820
C0116,29,000,000000,KARNATAKA,005052, Pattani,42,21,21,0,0,0,42,21,21
C0116,29,000,000000,KARNATAKA,005054, Ponchi,6,6,0,0,0,0,6,6,0
C0116,29,000,000000,KARNATAKA,005057, Saurashtra/Saurashtri,4343,2247,2096,0,0,0,4343,2247,2096
C0116,29,000,000000,KARNATAKA,005999,5 Others,41856,21311,20545,0,0,0,41856,21311,20545
C0116,29,000,000000,KARNATAKA,006000,6 HINDI ,925139,522087,403052,0,0,0,925139,522087,403052
C0116,29,000,000000,KARNATAKA,006030, Awadhi,46,29,17,0,0,0,46,29,17
C0116,29,000,000000,KARNATAKA,006040, Baghati/Baghati Pahari,5,1,4,0,0,0,5,1,4
C0116,29,000,000000,KARNATAKA,006042, Bagheli/Baghel Khandi,23,12,11,0,0,0,23,12,11
C0116,29,000,000000,KARNATAKA,006066, Banjari,4064,2069,1995,0,0,0,4064,2069,1995
C0116,29,000,000000,KARNATAKA,006086, Bhadrawahi,3,3,0,0,0,0,3,3,0
C0116,29,000,000000,KARNATAKA,006096, Bharmauri/Gaddi,72,41,31,0,0,0,72,41,31
C0116,29,000,000000,KARNATAKA,006102, Bhojpuri,6390,4420,1970,0,0,0,6390,4420,1970
C0116,29,000,000000,KARNATAKA,006123, Brajbhasha,5,3,2,0,0,0,5,3,2
C0116,29,000,000000,KARNATAKA,006125, Bundeli/Bundel khandi,22,16,6,0,0,0,22,16,6
C0116,29,000,000000,KARNATAKA,006142, Chhattisgarhi,88,57,31,0,0,0,88,57,31
C0116,29,000,000000,KARNATAKA,006149, Churahi,1,0,1,0,0,0,1,0,1
