State,bs1,bs2,Location Code,Location
29,000,00000,000000,KARNATAKA
29,555,00000,000000,Belgaum
29,555,05433,000000,Chikodi
29,555,05433,597114,Hadnal
29,555,05433,597115,Sulagaon
29,555,05433,597116,Mattiwade
29,555,05433,597117,Bhatnaganur
29,555,05433,597118,Kurli
29,555,05433,597119,Appachiwadi
29,555,05433,597120,Koganoli
29,555,05433,597121,Hanabarawadi
29,555,05433,597122,Hanchinal (K.S.)
29,555,05433,597123,Benadi
29,555,05433,597124,Bolewadi
29,555,05433,597125,Akkol
29,555,05433,597126,Padlihal
29,555,05433,597127,Lakhanapur
29,555,05433,597128,Jatrat
29,555,05433,597129,Adi
29,555,05433,597130,Bhivashi
29,555,05433,597131,Naganur
29,555,05433,597132,Yamagarni
29,555,05433,597133,Soundalga
29,555,05433,597134,Budihal
29,555,05433,597135,Kodni
29,555,05433,597136,Gayakanawadi
29,555,05433,597137,Shirguppi
29,555,05433,597138,Pangeri (B)
29,555,05433,597139,Budulmukh
29,555,05433,597140,Shendur
29,555,05433,597141,Gondikuppi
29,555,05433,597142,Yarnal
29,555,05433,597143,Nippani (Rural)
29,555,05433,597144,Amalzari
29,555,05433,597145,Gavan
29,555,05433,597146,Tavadi
29,555,05433,597147,Manakapur
29,555,05433,597148,Kasanal
29,555,05433,597149,Donewadi
29,555,05433,597150,Boragaon
29,555,05433,597151,Boragaonwadi
29,555,05433,597152,Sadalaga (Rural)
29,555,05433,597153,Janwad
29,555,05433,597154,Shiradwad
29,555,05433,597155,Karadaga
29,555,05433,597156,Barwad
29,555,05433,597157,Mangur
29,555,05433,597158,Kunnur
29,555,05433,597159,Gajabarwadi
29,555,05433,597160,Shivapurawadi
29,555,05433,597161,Bhoj
29,555,05433,597162,Hunnaragi
29,555,05433,597163,Sidnal
29,555,05433,597164,Mamadapur (KL)
29,555,05433,597165,Bhimapurwadi
29,555,05433,597166,Galatga
29,555,05433,597167,Dilalapurwadi
29,555,05433,597168,Bedkihal
29,555,05433,597169,Shamanewadi
29,555,05433,597170,Nej
29,555,05433,597171,Nagaral
29,555,05433,597172,Nanadiwadi
29,555,05433,597173,Nanadi
29,555,05433,597174,Malikwad
29,555,05433,597175,Examba
29,555,05433,597176,Kallol
29,555,05433,597177,Yadyanawadi
29,555,05433,597178,Yadurwadi
29,555,05433,597179,Chandur
29,555,05433,597180,Chandur - Tek
29,555,05433,597181,Yadur
29,555,05433,597182,Hosa Yedur
29,555,05433,597183,Ingali
29,555,05433,597184,Manjari
29,555,05433,597185,Manjariwadi
29,555,05433,597186,Ankali
29,555,05433,597187,Shiddapurwadi
29,555,05433,597188,Kadapur
29,555,05433,597189,Jodakurli
29,555,05433,597190,Kerur
29,555,05433,597191,Roopanal
29,555,05433,597192,Hirekudi
29,555,05433,597193,Chikodi (Rural)
29,555,05433,597194,Kuppanawadi
29,555,05433,597195,Girgaon
29,555,05433,597196,Shirgaon
29,555,05433,597197,Shiragaonwadi
29,555,05433,597198,Khadaklat
29,555,05433,597199,Thapakarwadi
29,555,05433,597200,Pangire (A)
29,555,05433,597201,Rampur
29,555,05433,597202,Chikalwal
29,555,05433,597203,Manuchiwadi
29,555,05433,597204,Sankanwadi
29,555,05433,597205,Navalihal
29,555,05433,597206,Peerawadi
29,555,05433,597207,Pattankudi
29,555,05433,597208,Walki
29,555,05433,597209,Yadyanawadi
29,555,05433,597210,Nainglaj
29,555,05433,597211,Dhulaganawadi
29,555,05433,597212,Kuthali
29,555,05433,597213,Kothali
29,555,05433,597214,Chinchani
29,555,05433,597215,Handyanwadi
29,555,05433,597216,Umrani
29,555,05433,597217,Itnal
29,555,05433,597218,Nagaramunnoli
29,555,05433,597219,Belkud
29,555,05433,597220,Bambalwad
29,555,05433,597221,Kungatolli
29,555,05433,597222,Karoshi
29,555,05433,597223,Jainapur
29,555,05433,597224,Toranahalli
29,555,05433,597225,Bidrahalli
29,555,05433,597226,Hattarwat
29,555,05433,597227,Mangnur
29,555,05433,597228,Wadral
29,555,05433,597229,Majalatti
29,555,05433,597230,Khajagoudanhatti
29,555,05433,597231,Mugali
29,555,05433,597232,Kamatyanahatti 
29,555,05433,597233,Bennihalli
29,555,05433,597234,Karagaon
29,555,05433,597235,Donawad
29,555,05433,597236,Hanchinal (K.K.)
29,555,05433,597237,Belagali
29,555,05433,597238,Kenchanatti
29,555,05433,597239,Meerapurhatti
29,555,05433,597240,Kabbur
29,555,05433,597241,Jodatti
29,555,05433,597242,Vijayanagar
29,555,05433,597243,Pogatyanatti
29,555,05433,597244,Jaganur
29,555,05433,597245,Mamadapur (Kk)
29,555,05433,803021,Nipani  (CMC)
29,555,05433,803022,Sadalgi (TP)
29,555,05433,803023,Chikodi (TMC)
